id,property_incident_id,subject_id,relationship,data,created_at,updated_at
181,4995,187,mentioned_in,{},2026-07-13 14:13:31 -0400,2026-07-13 14:13:31 -0400
182,5455,68,mentioned_in,{},2026-07-13 14:13:31 -0400,2026-07-13 14:13:31 -0400
183,5456,187,operated_at,"{""source_relationship"":""operated""}",2026-07-13 14:13:31 -0400,2026-07-22 18:34:16 -0400
184,4996,188,lived_at,{},2026-07-13 14:13:31 -0400,2026-07-13 14:13:31 -0400
185,5533,189,owned,{},2026-07-13 14:13:31 -0400,2026-07-13 14:13:31 -0400
186,5533,190,owned,{},2026-07-13 14:13:31 -0400,2026-07-13 14:13:31 -0400
187,5533,191,owned,{},2026-07-13 14:13:31 -0400,2026-07-13 14:13:31 -0400
188,5533,192,owned,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
189,5533,193,owned,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
190,5533,194,owned,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
191,5533,195,owned,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
192,5533,196,owned,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
193,5533,197,owned,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
194,5533,198,owned,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
195,5533,199,owned,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
196,5533,152,owned,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
197,5533,122,currently_at,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
198,5054,189,sold,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
199,5054,190,sold,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
200,5054,191,purchased,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
201,5054,192,purchased,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
202,5055,191,sold,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
203,5055,192,sold,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
204,5055,193,purchased,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
205,5056,195,sold,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
206,5056,196,purchased,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
207,5056,193,owned,"{""source_relationship"":""previously_owned""}",2026-07-13 14:13:32 -0400,2026-07-22 18:36:20 -0400
208,5056,194,owned,"{""source_relationship"":""previously_owned""}",2026-07-13 14:13:32 -0400,2026-07-22 18:36:20 -0400
209,5057,196,sold,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
210,5057,197,purchased,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
211,5058,197,sold,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
212,5058,198,purchased,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
213,5059,199,purchased,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
214,5060,199,foreclosed_on,"{""source_relationship"":""lost_via_foreclosure""}",2026-07-13 14:13:32 -0400,2026-07-22 18:34:31 -0400
215,5060,152,purchased,"{""source_relationship"":""acquired_via_foreclosure""}",2026-07-13 14:13:32 -0400,2026-07-22 18:40:06 -0400
216,5060,1,mentioned_in,{},2026-07-13 14:13:32 -0400,2026-07-13 14:13:32 -0400
217,5457,68,mentioned_in,{},2026-07-13 14:13:37 -0400,2026-07-13 14:13:37 -0400
219,5536,200,owned,{},2026-07-13 14:13:37 -0400,2026-07-13 14:13:37 -0400
220,5536,201,owned,{},2026-07-13 14:13:37 -0400,2026-07-13 14:13:37 -0400
221,5459,68,mentioned_in,{},2026-07-13 14:13:53 -0400,2026-07-13 14:13:53 -0400
223,4997,202,lived_at,{},2026-07-13 14:13:53 -0400,2026-07-13 14:13:53 -0400
224,5001,202,lived_at,{},2026-07-13 14:13:53 -0400,2026-07-13 14:13:53 -0400
225,5001,203,mentioned_in,{},2026-07-13 14:13:53 -0400,2026-07-13 14:13:53 -0400
226,5460,204,operated_at,{},2026-07-13 14:13:53 -0400,2026-07-13 14:13:53 -0400
227,5539,205,owned,{},2026-07-13 14:13:53 -0400,2026-07-13 14:13:53 -0400
228,5539,206,owned,{},2026-07-13 14:13:53 -0400,2026-07-13 14:13:53 -0400
229,5539,207,owned,{},2026-07-13 14:13:53 -0400,2026-07-13 14:13:53 -0400
230,5539,208,owned,{},2026-07-13 14:13:53 -0400,2026-07-13 14:13:53 -0400
231,5539,209,owned,{},2026-07-13 14:13:53 -0400,2026-07-13 14:13:53 -0400
232,5539,210,owned,{},2026-07-13 14:13:53 -0400,2026-07-13 14:13:53 -0400
233,5615,205,operated_at,{},2026-07-13 14:13:53 -0400,2026-07-13 14:13:53 -0400
234,5615,68,mentioned_in,{},2026-07-13 14:13:53 -0400,2026-07-13 14:13:53 -0400
235,5615,211,owned,{},2026-07-13 14:13:53 -0400,2026-07-13 14:13:53 -0400
236,5615,212,owned,{},2026-07-13 14:13:53 -0400,2026-07-13 14:13:53 -0400
237,5615,213,owned,{},2026-07-13 14:13:53 -0400,2026-07-13 14:13:53 -0400
238,5615,214,owned,{},2026-07-13 14:13:54 -0400,2026-07-13 14:13:54 -0400
239,5615,207,owned,{},2026-07-13 14:13:54 -0400,2026-07-13 14:13:54 -0400
240,5615,209,owned,{},2026-07-13 14:13:54 -0400,2026-07-13 14:13:54 -0400
241,5615,208,owned,{},2026-07-13 14:13:54 -0400,2026-07-13 14:13:54 -0400
242,5615,210,owned,{},2026-07-13 14:13:54 -0400,2026-07-13 14:13:54 -0400
243,5061,213,sold,{},2026-07-13 14:13:54 -0400,2026-07-13 14:13:54 -0400
244,5061,206,owned,{},2026-07-13 14:13:54 -0400,2026-07-13 14:13:54 -0400
245,5061,211,mentioned_in,{},2026-07-13 14:13:54 -0400,2026-07-13 14:13:54 -0400
246,5061,212,mentioned_in,{},2026-07-13 14:13:54 -0400,2026-07-13 14:13:54 -0400
247,5061,214,mentioned_in,{},2026-07-13 14:13:54 -0400,2026-07-13 14:13:54 -0400
248,5062,206,sold,{},2026-07-13 14:13:54 -0400,2026-07-13 14:13:54 -0400
249,5062,207,owned,{},2026-07-13 14:13:54 -0400,2026-07-13 14:13:54 -0400
250,6731,208,owned,{},2026-07-13 14:13:54 -0400,2026-07-13 14:13:54 -0400
251,6731,209,owned,{},2026-07-13 14:13:54 -0400,2026-07-13 14:13:54 -0400
252,6732,209,owned,{},2026-07-13 14:13:54 -0400,2026-07-13 14:13:54 -0400
253,6733,210,owned,{},2026-07-13 14:13:54 -0400,2026-07-13 14:13:54 -0400
254,5461,68,mentioned_in,{},2026-07-13 14:14:01 -0400,2026-07-13 14:14:01 -0400
255,5462,215,lived_at,{},2026-07-13 14:14:01 -0400,2026-07-13 14:14:01 -0400
256,5462,216,lived_at,{},2026-07-13 14:14:01 -0400,2026-07-13 14:14:01 -0400
257,5462,217,lived_at,{},2026-07-13 14:14:01 -0400,2026-07-13 14:14:01 -0400
258,5462,218,lived_at,{},2026-07-13 14:14:01 -0400,2026-07-13 14:14:01 -0400
259,5542,152,owned,{},2026-07-13 14:14:01 -0400,2026-07-13 14:14:01 -0400
260,5542,162,owned,{},2026-07-13 14:14:01 -0400,2026-07-13 14:14:01 -0400
261,5542,163,mentioned_in,{},2026-07-13 14:14:01 -0400,2026-07-13 14:14:01 -0400
262,6588,219,lived_at,{},2026-07-13 14:14:09 -0400,2026-07-13 14:14:09 -0400
263,6588,220,mentioned_in,{},2026-07-13 14:14:09 -0400,2026-07-13 14:14:09 -0400
264,6588,221,mentioned_in,{},2026-07-13 14:14:09 -0400,2026-07-13 14:14:09 -0400
265,6588,222,mentioned_in,{},2026-07-13 14:14:09 -0400,2026-07-13 14:14:09 -0400
266,5463,68,mentioned_in,{},2026-07-13 14:14:09 -0400,2026-07-13 14:14:09 -0400
267,5464,219,lived_at,{},2026-07-13 14:14:09 -0400,2026-07-13 14:14:09 -0400
268,5464,223,lived_at,{},2026-07-13 14:14:09 -0400,2026-07-13 14:14:09 -0400
269,5464,224,played_for,{},2026-07-13 14:14:09 -0400,2026-07-13 14:14:09 -0400
270,5464,225,mentioned_in,{},2026-07-13 14:14:09 -0400,2026-07-13 14:14:09 -0400
271,5464,226,mentioned_in,{},2026-07-13 14:14:09 -0400,2026-07-13 14:14:09 -0400
272,5464,68,mentioned_in,{},2026-07-13 14:14:09 -0400,2026-07-13 14:14:09 -0400
273,5545,227,owned,{},2026-07-13 14:14:09 -0400,2026-07-13 14:14:09 -0400
274,5545,228,owned,{},2026-07-13 14:14:09 -0400,2026-07-13 14:14:09 -0400
275,5545,229,owned,{},2026-07-13 14:14:09 -0400,2026-07-13 14:14:09 -0400
276,5545,230,owned,{},2026-07-13 14:14:10 -0400,2026-07-13 14:14:10 -0400
277,5545,231,owned,{},2026-07-13 14:14:10 -0400,2026-07-13 14:14:10 -0400
278,5545,232,owned,{},2026-07-13 14:14:10 -0400,2026-07-13 14:14:10 -0400
279,5545,233,owned,{},2026-07-13 14:14:10 -0400,2026-07-13 14:14:10 -0400
280,5465,68,mentioned_in,{},2026-07-13 14:14:15 -0400,2026-07-13 14:14:15 -0400
281,5548,152,purchased,"{""source_relationship"":""acquired_via_tax_sale""}",2026-07-13 14:14:15 -0400,2026-07-22 18:38:48 -0400
